RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        12116     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.804D+03  8.423D+06
RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        12116     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        12116     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.789D+03  8.827D+06
    1    4     1     0  ---    2  1.5D-04  2.1D+01  3.590D+03  6.094D+06
    2    5     0     0  con    0  1.0D+00  1.1D+02  4.896D+02  6.255D+05
    3    6     0     0  con    0  1.0D+00  7.9D+00  2.514D+02  5.660D+05
    4    7     0     0  con    0  1.0D+00  2.5D+01  3.753D+02  4.585D+05
    5    8     0     0  con    0  1.0D+00  2.0D+01  1.716D+03  4.222D+05
    6    9     0     0  con    0  1.0D+00  4.0D+01  1.044D+03  3.945D+05
    7   10     0     0  con    0  1.0D+00  2.5D+01  1.043D+03  3.647D+05
    8   12     0     0  con    1  2.0D-01  1.9D+01  9.964D+02  3.488D+05
    9   13     0     0  con    0  1.0D+00  2.5D+01  2.508D+02  3.214D+05
   10   14     0     0  con    0  1.0D+00  2.8D+01  1.813D+03  3.054D+05
   11   15     0     0  con    0  1.0D+00  9.4D+00  1.198D+03  2.927D+05
   12   16     0     0  con    0  1.0D+00  2.3D+01  3.892D+02  2.802D+05
   13   17     0     0  con    0  1.0D+00  7.4D+00  4.798D+02  2.732D+05
   14   18     0     0  con    0  1.0D+00  2.3D+01  2.524D+02  2.674D+05
   15   19     0     0  con    0  1.0D+00  1.4D+01  3.633D+02  2.593D+05
   16   20     0     0  con    0  1.0D+00  1.0D+01  4.306D+02  2.519D+05
   17   21     0     0  con    0  1.0D+00  3.3D+01  3.581D+02  2.438D+05
   18   22     0     0  con    0  1.0D+00  9.3D+00  3.066D+02  2.370D+05
   19   23     0     0  con    0  1.0D+00  1.6D+01  3.003D+02  2.311D+05
   20   24     0     0  con    0  1.0D+00  2.3D+01  2.376D+02  2.257D+05
   21   25     0     0  con    0  1.0D+00  1.2D+01  2.812D+02  2.209D+05
   22   26     0     0  con    0  1.0D+00  2.3D+01  1.575D+02  2.155D+05
   23   27     0     0  con    0  1.0D+00  1.8D+01  2.926D+02  2.114D+05
   24   28     0     0  con    0  1.0D+00  3.7D+01  1.832D+02  2.089D+05
   25   29     0     0  con    0  1.0D+00  1.2D+01  3.054D+02  2.065D+05
   26   30     0     0  con    0  1.0D+00  4.7D+00  1.489D+02  2.025D+05
   27   31     0     0  con    0  1.0D+00  1.1D+01  9.515D+01  2.006D+05
   28   32     0     0  con    0  1.0D+00  1.5D+01  2.243D+02  1.982D+05
   29   33     0     0  con    0  1.0D+00  2.1D+01  1.541D+02  1.953D+05
   30   34     0     0  con    0  1.0D+00  2.4D+01  1.816D+02  1.927D+05
   31   35     0     0  con    0  1.0D+00  6.5D+00  1.092D+02  1.911D+05
   32   36     0     0  con    0  1.0D+00  1.6D+01  9.831D+01  1.895D+05
   33   37     0     0  con    0  1.0D+00  2.0D+01  8.556D+01  1.876D+05
   34   38     0     0  con    0  1.0D+00  1.5D+01  1.179D+02  1.857D+05
   35   39     0     0  con    0  1.0D+00  1.5D+01  2.704D+02  1.840D+05
   36   40     0     0  con    0  1.0D+00  1.1D+01  1.748D+02  1.823D+05
   37   41     0     0  con    0  1.0D+00  9.8D+00  1.387D+02  1.813D+05
   38   42     0     0  con    0  1.0D+00  1.9D+01  2.219D+02  1.796D+05
   39   43     0     0  con    0  1.0D+00  3.0D+01  8.817D+02  1.788D+05
   40   44     0     0  con    0  1.0D+00  2.6D+00  1.390D+02  1.771D+05
   41   45     0     0  con    0  1.0D+00  1.3D+01  1.735D+02  1.765D+05
   42   46     0     0  con    0  1.0D+00  3.5D+00  1.727D+02  1.757D+05
   43   47     0     0  con    0  1.0D+00  1.7D+01  8.496D+01  1.747D+05
   44   48     0     0  con    0  1.0D+00  2.4D+01  1.187D+02  1.736D+05
   45   49     0     0  con    0  1.0D+00  1.1D+01  1.321D+02  1.726D+05
   46   50     0     0  con    0  1.0D+00  1.3D+01  9.436D+01  1.718D+05
   47   51     0     0  con    0  1.0D+00  1.9D+01  2.232D+02  1.707D+05
   48   52     0     0  con    0  1.0D+00  1.5D+01  1.352D+02  1.698D+05
